26% incorrect conflict label,Assignee,Article index,Conflict,Location correct,South Sudan / Liberation movement Conflict,Government / Liberation Movement Conflicts in general,Additional Notes
,Caspar,0,0,yes,no,no,"This article is about a celebration of South Sudan independence and the relation between ""North"" and South."
,Caspar,1,0,yes,no,no,This article is about a celebration of South Sudan independence and that they're at war with Khartoum
,Caspar,2,0,no,no,no,"Head of Kenyan Community congratulates South Sudan independence, no location mentioned"
,Caspar,3,2,yes,yes,yes,"Rebel leader Gatluak killed in Koch county, began localised rebellion agianst SPLA"
,Caspar,4,2,yes,yes,yes,Similar to 3
,Caspar,5,2,no,yes,yes,Similar to 3
,Caspar,6,0,yes,no,no,Oil news
,Caspar,7,2,no,yes,yes,Similar to 3
,Caspar,8,0,no,no,yes,Rebels blamed for bombs which killed 5
,Caspar,9,0,No info,no,no,Tree planting campaign
,Caspar,10,0,No info,no,no,Stealing cows
,Caspar,11,0,yes,no,no,"Catlle raid, happening "
,Caspar,12,0,no,no,no,"Cattle raiding, communities are beefing due to lack of jobs"
,Caspar,13,0,No info,no,no,Strategic development team from Juba
,Caspar,14,1,No info,no,no,Very broadly mentioned challenges faced by South Sudan government
,Caspar,15,0,Various regions,no,no,Discussing the focus on the aid that South Sudan (in general) receives
,Caspar,16,1,Koch,yes,yes,SSLM army issuing UN to leave Unity Sate within a week
,Caspar,17,0,Unity,no,no,Relationship issues between North South in Unity state
,Caspar,18,1,Unity,no,yes,Arabs of thhe north attacking Unity states
,Caspar,19,2,Yida,yes,yes,Escalating tensions between North and South Sudan and SPLM-North. (Is this the same liberation movement?)
,Caspar,20,2,Yida,no,yes,US condemning Sudan Armed Forces airstrikes in Jida
,Caspar,21,2,Serjas (Unity State),no,no,"Conflict between Sudan and South Sudan in Serjas, both blaming each other again"
,Caspar,22,2,Yida Area,no,no,Sudan vs South Sudan again
,Caspar,23,1,Bentiu,no,yes,"South Sudan Liberation Army urges UN to evacuate Nuba rebels, threatening attacks on Bentiu"
,Caspar,24,2,Yida,no,yes,"Bombing of a refugee site, between Sudan and South Sudan"
,Caspar,25,1,South Sudan and Sudan,no,no,South Sudan efforts to address cattle raids and banditry
,Caspar,26,1,Northern states South Sudan,no,no,violence and closed trade routs cause price hikes and shortages of foods
,Caspar,27,2,Jau (Sudan/South sudan territory,no,yes,Sudan Armed Froces monitored by SPLA when crossing borders
,Caspar,28,2,Bentiu,yes,yes,"SPLA vs SSLA, SSLa fighting against south sudan government"
,Caspar,29,0,South Sudan in general,no,no,SSLA warns Total before construction oil pipeline
,Caspar,30,2,No info,no,yes,"Land mines in South Sudan kill people, Trade and movement crippled by mines, Sudanese army and rebels (mutiple topics)"
,Caspar,31,1,jau,no,yes,Air raid in northern sudan
,Caspar,32,1,Bentiu and Mayom,no,no,UNMISS invites everyone to protect human rights
,Caspar,33,1,War zone South Sudan,no,no,SSLM and South Sudan democratic Movement warn US companies to not invest in war zone of South Sudan
,Caspar,34,0,No info,no,no,"Tensions between Sudan and South Sudan, from oil industry in particular "
,Caspar,35,1,South Kordofan,yes,yes,"South Sudanese army soldiers captured and recruited by SSLA, tensiosn between North Sudan forces and rebes in South Kordofan"
,Caspar,36,0,no info,no,no,economic ties between Sudan and South Sudan
,Caspar,37,2,Unity,no,yes,"Attack on assailants dressed in SPLA uniform, not sure if this is part of the conflict"
,Caspar,38,0,Rubkona,no,no,This is about a fire that destroyed shops in Rubkona
,Caspar,39,2,Unity State and Warrap,no,no,Ethnic clashes
,Caspar,40,2,Warrap,no,yes,Sudan vs South Sudan
,Caspar,41,1,No info,no,no,North and South argue over petroleum deposits
,Caspar,42,1,No info,no,no,Governor Unity State urges to not let tribalism hinder development and stresses law and order
,Caspar,43,2,Unity,no,no,"This is between South Sudan and rebels (cattle raids), but I am not sure this is about our conflict"
,Caspar,44,2,Warrap,no,no,"Another cattle raiding conflict, this time quite bad"
,Caspar,45,0,Unity,no,no,Sudan gov accused of sabotage of oil fields
,Caspar,46,1,No info,no,yes,"Sudan exploiting South Sudan oil, leading to a war of liberation"
,Caspar,47,0,No info,no,no,Comparison of 1930s South Sudan and current South Sudan
,Caspar,48,2,Juba,yes,yes,SSLA planning attack in Juba
,Caspar,49,0,Jau and Bentiu,no,no,State border insecurities makes route for returnees difficult
,Caspar,50,1,Multiple states,no,no,Sudan and South Sudan tensions
,Caspar,51,2,Unity,yes,yes,Khartoum Air Force attacks resulting in SPLA deaths
,Caspar,52,0,Unity,no,no,Repatriatation of South Sudan in Unity State way station
,Caspar,53,1,Jonglei,no,no,call for disarmament campaign for ethnic group for cattle raids
,Caspar,54,0,Bentiu,no,no,"Repatriatation of South Sudan in Bentiu, refugees were welcomed"
,Caspar,55,0,Unity,no,no,"Agri-business created, which highlights demand for nutrition"
,Caspar,56,1,Jau,yes,yes,"SPLA shut down Iranian plane used by Sudan Armed Forces, this plane was spying on SPLA in Jau"
,Caspar,57,2,Bentiu,no,yes,"SPLA vs Sudan Air aerial bombings and ground fights (NOTE: SUDAN, NOT SOUTH SUDAN)"
,Caspar,58,1,No info,no,no,Potential effects of South Sudan and Sudan
,Caspar,59,1,Unity,no,no,Preseident instructs governors of 5 states to mobilize public for defense against Sudan
,Caspar,60,2,Bentiu,yes,yes,"SSLA attacked SPLA, SSLA fighting SPLA forces to restore dignity of SPLA and to end corruption in South Sudan "
,Caspar,61,2,Bentiu,no,yes,"Sudan Air Force bombs Bentiu, South Sudan angry"
,Caspar,62,0,Juba,no,no,"Meeting in Juba, Sudan and South Sudan discuss oil clashes"
,Caspar,63,0,Unity,no,no,South Sudan and Sudan clashes over Unity state
,Caspar,64,1,Northern states of South Sudan,no,no,South Sudan VP urges nothern state to restore security in northern/central South Sudan
,Caspar,65,1,Sudan/south sudan border,no,yes,Unity state gov urges to get support for SPLA as Sudan may invade military
,Caspar,66,0,Unity and Warrap,no,no,"South Sudan VP urges peace talks in Lakes, Warrap and Unity to end conflicts/tensions/cattle raids"
,Caspar,67,1,Heglig area,no,yes,Oil dispute between Sudan and South Sudan
,Caspar,68,2,Unity,no,yes,Sudan Air Force bombs Unity State
,Caspar,69,2,South Sudan states,no,yes,"Sudan Air Forces boms South Sudan, resulting in more than 5 casualties"
,Caspar,70,2,Heglig,no,yes,SPLA vs Sudan Air Forces are at war over oil in the Heglig/Panthou area
,Caspar,71,2,Bentiu/Rubkona bridge,no,yes,Bombings of Rubkotna bridge and Bentiu by Sudanese Armed Forces
,Caspar,72,1,Unity State borders,no,yes,Parliament supports SPLA financially fighting Sudan
,Caspar,73,1,Unity,no,no,Always Be Tolerant focuses to create tolerance between Sudan and South Sudan after Sudan bombing
,Caspar,74,1,Unity and Warrap,no,yes,Sudan bombed South Sudan again
,Caspar,75,2,Bentiu,no,no,"International communities are biased towards Sudan, which is being agressive towards South sudan for oil resources in Bentiu"
,,,,(unity state is quite large),,,
,Martijn,76,2,yes,no,,Conflict between Sudan and South Sudan (especcialy for oil resources)
,Martijn,77,2,Bentiu + Rubkona,no,,Conflict between Sudan and South Sudan (bombings)
,Martijn,78,2,Unity state,no,,Conflict between Sudan and South Sudan (bombings)
