Field,Label,Value
created,Created,2018-09-26T15:45:38.645015
description,Description,Food prices QuickCharts data with HXL tags
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/369e003b-f0af-4e48-99d7-34fc85b44635/resource/c6ab99c0-a17a-401f-a206-5349f8d4a1f0/download/wfp_food_prices_sdn_qc.csv
id,Resource ID,c6ab99c0-a17a-401f-a206-5349f8d4a1f0
last_modified,Updated,2023-09-19T08:55:06.826085
metadata_modified,Metadata Updated,2023-09-19T08:55:11.954230
microdata,Microdata,False
dataset_id,Dataset ID,369e003b-f0af-4e48-99d7-34fc85b44635
resource_type,Resource Type,file.upload
name,Resource Name,QuickCharts: Sudan - Food Prices
mimetype,MIME Type,
size,Size,49.6K
