Field,Label,Value
created,Created,2018-09-26T15:45:38.645003
description,Description,Food prices data with HXL tags
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/369e003b-f0af-4e48-99d7-34fc85b44635/resource/8fea18b2-615f-4af5-9bd5-85cc31a25ffd/download/wfp_food_prices_sdn.csv
id,Resource ID,8fea18b2-615f-4af5-9bd5-85cc31a25ffd
last_modified,Updated,2023-09-19T08:55:06.667930
metadata_modified,Metadata Updated,2023-09-19T08:55:11.953988
microdata,Microdata,False
dataset_id,Dataset ID,369e003b-f0af-4e48-99d7-34fc85b44635
resource_type,Resource Type,file.upload
name,Resource Name,Sudan - Food Prices
mimetype,MIME Type,
size,Size,1.3M
