date,code,usdprice
2009-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.9661
2009-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.8856
2009-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.4894
2009-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.9322
2009-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1674
2009-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2076
2009-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2076
2009-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3686
2009-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3686
2009-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.4894
2010-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.5296
2010-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.5296
2010-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.7712
2010-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.7712
2010-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.7175
2010-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.7175
2010-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3955
2010-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3955
2010-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3686
2010-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1271
2010-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2237
2010-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2237
2010-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.9322
2010-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.9322
2010-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.6441
2010-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.6441
2010-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.9661
2010-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.9661
2010-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1593
2011-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2881
2011-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2881
2011-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.4491
